index,name,text,Trigger,Quest,StartEvent,EndEvent,OptionA,OptionB
0,민우,어제 받은 20만원 덕분에 통장이 아주 든든하네,,,,,,
0,민우,처음엔 쫄았는데 막상 해보니까 완전 개꿀 알바잖아,,,,,,
0,민우,슬슬 연락 준다고 했는데…,,,,SendMessage,,
0,민우,오| 타이밍 좋게 왔구만,Reply,핸드폰을 키고 연락을 보내자,,,,
1,민우,오늘도 어제랑 똑같이 버스정류장에서 픽업하라는군,,,,,,
1,민우,얼른 가서 물건부터 챙기자,Interact,버스 정류장에서 물건을 가져오자,,SettingObj,,
2,민우,찾았다\오늘도 역시나 묵직하네,,,,,,
2,민우,안에 든 게 촬영용 캡슐이랑 소품들이라고 했지? 굳이 열어볼 필요는 없고,,,,,,
2,민우,뭐…일단 픽업했다고 말해줘야겠다,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
3,,,,,SendMessage,,,
4,민우,다음 장소 좌표 확인 완료| 근처 상가 뒤쪽이네\금방 찾아가겠구만,OpenPanel,탐색기를 활용해 목적지를 찾아가자,,SettingObj,,
5,민우,이번엔 여기구나…,,,,,,
5,민우,빨리 숨겨야겠다,Hiding,,,,,
6,민우,이정도면 잘 숨긴거 같다,,,,,,
6,민우,사진 찍고| 보고해야겠다,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
7,,,,,SendMessage,Escape,,
8,,,,,SendMessage,,,
8,민우,여기말고 다른곳에…?,,,,,,
8,민우,다시 숨겨봐야겠구만….,Hiding,다시 숨겨보자,,Loop,,
9,민우,좋았어! 확인 받았다!,,,,,,
9,민우,하는 일에 비해 페이가 쎄니깐 좋구만,,,,,,
9,민우,길도 눈에 익어서 어제보다 훨씬 수월한거 같네,,,,,,
9,민우,슬슬 돌아가볼까?,Interact,버스를 타고 집으로 돌아가자,,SettingObj,,
10,민우,돈 벌기 참 쉽다니깐?\빨리 집 가서 쉬어야지,NextPhase,,,,,
