index,text
0,너 인터넷에서 도는 그 고액 알바 괴담 봤어?
0,아| 그거? 무슨 짐만 갖다 놓으면 수십만 원 준다는 거?
0,어| 그거 절대 하지 마. 요새 그거 다 범죄에 연루되는 거래
1,오늘따라 순찰차가 자주 보이네 무슨 일 있나?
1,그러게 아까 보니까 사복 입은 형사 같은 사람들도 돌아다니던데
1,무섭게 왜 이래...딴 데로 새지 말고 빨리 집에나 가자
2,어제 밤에 저쪽 좁은 골목에서 누가 뭘 숨기는 걸 봤거든?
2,뭘 숨겨? 쓰레기 무단투기 아냐?
2,아니| 무슨 시커먼 백팩 같은 거였어|엄청 두리번거리면서... 진짜 찝찝하더라니까
3,내일 점심 뭐 먹지? 학식은 진짜 질렸어
3,정문 앞에 새로 생긴 돈까스집 가볼래?
4,우리 동네에 마약 던지기 수법? 그런 거 퍼졌다는 소문 돌던데
4,에이| 설마 우리 동네가 무슨 강남도 아니고.
4,진짜야 요즘은 주택가 우편함이나 에어컨 실외기 뒤에 몰래 숨겨둔대
4,요즘 세상 무섭네 진짜…
5,이번에 나온 신작 게임 해봤어? 타격감 장난 아니더라
5,아 나도 주말에 각 잡고 해보려고 스포일러 하지마셈
5,그게 주인공이 말이야 사실은…
5,야!!
6,세상에 쉽게 돈 버는 방법은 다 사기야| 사기
6,맞아 특히 젊은 애들 꼬드겨서 이상한 심부름 시키는 거 조심해야 돼
6,알바비 많이 준다고 덥석 물었다가 감옥 가는 애들 수두룩하대
7,아까 보니까| 경찰 두 명이 상가 쪽 CCTV 다 확인하고 있더라
7,헐| 우리 동네에서 무슨 뺑소니라도 났대?
7,몰라| 무슨 까만 가방 멘 남자 인상착의를 묻고 다니던데
8,이런 사람 보신적 있으신가요??
8,어…글쎄요…
13,내일 1교시 전공인데 진짜 가기 싫다... 자체 휴강할까?
13,미쳤냐? 너 출석 점수 간당간당하잖아 이번에 빠지면 무조건 F야
14,야| 너 저번에 말한 그 심부름 알바 아직도 하냐?
14,아니| 나 하루 해보고 찝찝해서 바로 차단 박았어
14,왜? 돈 엄청 많이 준다며 너 돈 급하잖아
14,돈은 많이 주는데| 시키는 짓이 영 이상하잖아 자꾸 으슥한 데다 물건만 두고 오라 하고
15,어제 빌라 앞에 경찰 다녀갔다며?
15,어| 와서 CCTV 각도 확인하고 가더라고
15,뭔일이라도 있어? 왜?
15,몰라…아| 형사들이 가방 멘 젊은 남자 못 봤냐고 묻던데?
15,가방? 요새 학생들 다 메고 다니는 게 가방인데 그걸 어떻게 찾아
15,그러니깐…
