index,name,text,Reply,photo,isSystem
0,???,오늘도 수고가 많으십니다,,,
0,???,물건은 평소처럼 지정된 장소에 있습니다,,,
0,???,확인 후 바로 출발해 주세요,네| 확인했습니다,,
2,???,,가방 챙겼습니다,,
3,???,좋네요,,,
3,???,이번 장소는 거리가 조금 있습니다,,Point1,
3,???,이번에도 잘 숨겨주세요,,,
5,???,,목적지에 경찰 통제선이 있는데요?,,
6,???,네? 경찰 통제선이요? 그럴 리가 없는데...,,,
6,???,잠시만요 확인해보겠습니다,,,
6,???,음…,,,
6,???,곤란한데…,,,
6,???,거기 말고 다른곳에 숨기는게 좋겠네요,,,
6,???,다른 장소 좌표 지금 바로 보냅니다,,Point2,
6,???,최대한 빨리 숨겨주세요,,,
6,???,꼭 빨리 가셔야해요,,,
9,???,,여기 숨겼어요,,
10,???,확인했습니다,,,
10,???,아까 일도 있었으니…,,,
10,???,이번에는 추가로 더 입금하겠습니다,,,
10,???,누구한테 숨긴 위치 말씀하지 마시구요,,,
11,???,거긴 너무 잘보이지 않나요?,,,
11,???,좀 더 깊숙하게| 좀 더 사람들이 못볼만한 구석에다가 숨겨주세요…!,,,
