index,text,
0,"아, 햇빛 좋다. 빨래 널기 딱이네.",1
1,저녁에 장 볼 생각하니 뭐부터 사야 할지 모르겠네.,
2,오늘은 버스가 제시간에 왔으면 좋겠다.,1
3,공원에 꽃이 폈네. 지나가다 사진이라도 찍어야지.,1
4,오늘은 창문을 열어 두고 싶을 만큼 공기가 맑네.,1
5,버스 오기 전에 전화 한 통 해야겠다.,1
6,해 지기 전에 골목을 한 바퀴 더 걸어 볼까.,1
7,오늘은 커피 한 잔 마시고 갈래?,
7,좋아. 따뜻한 걸로 마시자.,
8,저기 고양이가 또 벤치 밑에 있네.,1
8,그러네. 누가 물이라도 챙겨 주는 모양이야.,1
9,시장 앞 귤이 맛있어 보이던데.,
9,그럼 돌아가는 길에 조금 사자.,
10,이번 주말에는 공원 갈래?,1
10,좋아. 지난번에 못 간 쪽으로 가 보자.,1
10,그럼 나는 간식 챙겨 갈게.,1
,,
11,저녁엔 뭐 해 먹을 거야?,1
11,두부 사서 찌개 끓이려고.,1
12,아 심심하다...뭐 할거 없냐???,1
12,심심하긴해~,1
12,진짜 심심하긴해~~,1
