index,name,text,trigger,quest,StartEvent,EndEvent,optionA,optionB
0,민우,주변 말하는 것도 신경쓰이고…슬슬 돈도 꽤 벌었는데...,,,,,,
0,민우,한두번만 더하고 그만두던지 해야겠어,,,,SendMessage,,
0,민우,그래…딱 이번까지만 하고 그만둬야겠다,Reply,핸드폰을 확인하자,,,,
1,민우,오늘도 픽업 장소는 비슷하네,,,,,,
1,민우,얼른 가서 마지막 가방부터 챙기자,,,,,,
1,민우,어서 픽업하고| 빨리 마무리 지어야겠다,Interact,픽업 장소로 이동하자,,SettingObj,,
2,민우,어우…왜이렇게 무거워??,,,,,,
2,민우,우선 연락 먼저 주자,Reply,핸드폰을 확인하자,,ReplyMessage,,
3,,,,,SendMessage,,,
4,민우,좋아| 마지막 좌표 확인했다,,,,,,
4,민우,빨리 끝내고 집에 가서 잠이나 자야지,OpenPanel,숨길 장소를 탐색하자,,SettingObj,,
5,민우,좋아…적당히 숨기고 빨리 돌아가는거야…,Hiding,,,,,
6,민우,여기쯤 숨기면 완벽하겠...,,,,,,
6,???,학생? 거기서 뭐 하는 거야?,,,,,,
6,민우,헉…경찰…? 저요?,,,,,,
6,경찰,이 밤중에 으슥한 골목에서 가방 들고 뭘 숨기려던 거지?,,,,,,
6,민우,이거 그냥 컨텐츠 소품 숨기는거에요,,,,,,
6,경찰,요즘 이 근처에 고액 알바를 미끼로 한 던지기 수법이 기승이라서 말이야,,,,,,
6,경찰,그 가방 좀 확인해보자,,,,ObjMove,,
6,경찰,…,,,,,,
6,경찰,소품?,,,,,,
6,경찰,...보물찾기 소품 치고는 아주 질 나쁜 신종 마약들이 들어있는데?,,,,,,
6,민우,어.??\이…이게 무슨…??,,,,,,
6,민우,안 돼... 전 진짜 몰랐어요! 그냥 시키는 대로 가방만 옮긴 건데!,,,,,,
6,경찰,소용없어| 따라와,NextScene,,,,,
